date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:14:17	114/114	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2005%20Sep%202023%2010:14:17%20GMT	https://demos.pixinvent.com/robots.txt		(from )
16:14:17	106284/106284	---MCZ	200	added ('OK')	text/html	etag:W/%2264d33f25-19f2c%22	https://demos.pixinvent.com/vuexy-html-admin-template/html/vertical-menu-template/	D:/Themeforest%20Files/HTTrack%20Websites/Vuexy/Vuexy/demos.pixinvent.com/vuexy-html-admin-template/html/vertical-menu-template/index.html	(from )
16:14:18	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2005%20Sep%202023%2010:14:18%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/Themeforest%20Files/HTTrack%20Websites/Vuexy/Vuexy/www.googletagmanager.com/gtm.05445.delayed	(from https://demos.pixinvent.com/vuexy-html-admin-template/html/vertical-menu-template/)
16:14:20	101119/101119	---M--	200	added ('OK')	text/css	etag:%2264d33f25-18aff%22	https://demos.pixinvent.com/vuexy-html-admin-template/assets/vendor/fonts/fontawesome.css	D:/Themeforest%20Files/HTTrack%20Websites/Vuexy/Vuexy/demos.pixinvent.com/vuexy-html-admin-template/assets/vendor/fonts/fontawesome.css	(from https://demos.pixinvent.com/vuexy-html-admin-template/html/vertical-menu-template/)
16:14:20	178013/178013	---M--	200	added ('OK')	text/css	etag:%2264d33f25-2b75d%22	https://demos.pixinvent.com/vuexy-html-admin-template/assets/vendor/fonts/tabler-icons.css	D:/Themeforest%20Files/HTTrack%20Websites/Vuexy/Vuexy/demos.pixinvent.com/vuexy-html-admin-template/assets/vendor/fonts/tabler-icons.css	(from https://demos.pixinvent.com/vuexy-html-admin-template/html/vertical-menu-template/)
16:14:21	30909/30909	---M--	200	added ('OK')	text/css	etag:%2264d33f25-78bd%22	https://demos.pixinvent.com/vuexy-html-admin-template/assets/vendor/fonts/flag-icons.css	D:/Themeforest%20Files/HTTrack%20Websites/Vuexy/Vuexy/demos.pixinvent.com/vuexy-html-admin-template/assets/vendor/fonts/flag-icons.css	(from https://demos.pixinvent.com/vuexy-html-admin-template/html/vertical-menu-template/)
16:14:23	2998/2998	---M--	200	added ('OK')	text/css	etag:%2264d33f25-bb6%22	https://demos.pixinvent.com/vuexy-html-admin-template/assets/css/demo.css	D:/Themeforest%20Files/HTTrack%20Websites/Vuexy/Vuexy/demos.pixinvent.com/vuexy-html-admin-template/assets/css/demo.css	(from https://demos.pixinvent.com/vuexy-html-admin-template/html/vertical-menu-template/)
16:14:23	50282/50282	---M--	200	added ('OK')	text/css	etag:%2264d33f25-c46a%22	https://demos.pixinvent.com/vuexy-html-admin-template/assets/vendor/css/rtl/theme-default.css	D:/Themeforest%20Files/HTTrack%20Websites/Vuexy/Vuexy/demos.pixinvent.com/vuexy-html-admin-template/assets/vendor/css/rtl/theme-default.css	(from https://demos.pixinvent.com/vuexy-html-admin-template/html/vertical-menu-template/)
16:14:23	4080/4080	---M--	200	added ('OK')	text/css	etag:%2264d33f25-ff0%22	https://demos.pixinvent.com/vuexy-html-admin-template/assets/vendor/libs/node-waves/node-waves.css	D:/Themeforest%20Files/HTTrack%20Websites/Vuexy/Vuexy/demos.pixinvent.com/vuexy-html-admin-template/assets/vendor/libs/node-waves/node-waves.css	(from https://demos.pixinvent.com/vuexy-html-admin-template/html/vertical-menu-template/)
16:14:23	5452/5452	---M--	200	added ('OK')	text/css	etag:%2264d33f25-154c%22	https://demos.pixinvent.com/vuexy-html-admin-template/assets/vendor/libs/perfect-scrollbar/perfect-scrollbar.css	D:/Themeforest%20Files/HTTrack%20Websites/Vuexy/Vuexy/demos.pixinvent.com/vuexy-html-admin-template/assets/vendor/libs/perfect-scrollbar/perfect-scrollbar.css	(from https://demos.pixinvent.com/vuexy-html-admin-template/html/vertical-menu-template/)
16:14:24	558668/558668	---M--	200	added ('OK')	text/css	etag:%2264d33f25-8864c%22	https://demos.pixinvent.com/vuexy-html-admin-template/assets/vendor/css/rtl/core.css	D:/Themeforest%20Files/HTTrack%20Websites/Vuexy/Vuexy/demos.pixinvent.com/vuexy-html-admin-template/assets/vendor/css/rtl/core.css	(from https://demos.pixinvent.com/vuexy-html-admin-template/html/vertical-menu-template/)
16:14:24	1812/1812	---M--	200	added ('OK')	text/css	etag:%2264d33f25-714%22	https://demos.pixinvent.com/vuexy-html-admin-template/assets/vendor/libs/typeahead-js/typeahead.css	D:/Themeforest%20Files/HTTrack%20Websites/Vuexy/Vuexy/demos.pixinvent.com/vuexy-html-admin-template/assets/vendor/libs/typeahead-js/typeahead.css	(from https://demos.pixinvent.com/vuexy-html-admin-template/html/vertical-menu-template/)
16:14:24	19809/19809	---M--	200	added ('OK')	text/css	etag:%2264d33f25-4d61%22	https://demos.pixinvent.com/vuexy-html-admin-template/assets/vendor/libs/apex-charts/apex-charts.css	D:/Themeforest%20Files/HTTrack%20Websites/Vuexy/Vuexy/demos.pixinvent.com/vuexy-html-admin-template/assets/vendor/libs/apex-charts/apex-charts.css	(from https://demos.pixinvent.com/vuexy-html-admin-template/html/vertical-menu-template/)
16:14:25	19655/19655	---M--	200	added ('OK')	text/css	etag:%2264d33f25-4cc7%22	https://demos.pixinvent.com/vuexy-html-admin-template/assets/vendor/libs/swiper/swiper.css	D:/Themeforest%20Files/HTTrack%20Websites/Vuexy/Vuexy/demos.pixinvent.com/vuexy-html-admin-template/assets/vendor/libs/swiper/swiper.css	(from https://demos.pixinvent.com/vuexy-html-admin-template/html/vertical-menu-template/)
16:14:25	19473/19473	---M--	200	added ('OK')	text/css	etag:%2264d33f25-4c11%22	https://demos.pixinvent.com/vuexy-html-admin-template/assets/vendor/libs/datatables-bs5/datatables.bootstrap5.css	D:/Themeforest%20Files/HTTrack%20Websites/Vuexy/Vuexy/demos.pixinvent.com/vuexy-html-admin-template/assets/vendor/libs/datatables-bs5/datatables.bootstrap5.css	(from https://demos.pixinvent.com/vuexy-html-admin-template/html/vertical-menu-template/)
16:14:25	4885/4885	---M--	200	added ('OK')	text/css	etag:%2264d33f25-1315%22	https://demos.pixinvent.com/vuexy-html-admin-template/assets/vendor/libs/datatables-responsive-bs5/responsive.bootstrap5.css	D:/Themeforest%20Files/HTTrack%20Websites/Vuexy/Vuexy/demos.pixinvent.com/vuexy-html-admin-template/assets/vendor/libs/datatables-responsive-bs5/responsive.bootstrap5.css	(from https://demos.pixinvent.com/vuexy-html-admin-template/html/vertical-menu-template/)
16:14:25	511/511	---M--	200	added ('OK')	text/css	etag:%2264d33f25-1ff%22	https://demos.pixinvent.com/vuexy-html-admin-template/assets/vendor/libs/datatables-checkboxes-jquery/datatables.checkboxes.css	D:/Themeforest%20Files/HTTrack%20Websites/Vuexy/Vuexy/demos.pixinvent.com/vuexy-html-admin-template/assets/vendor/libs/datatables-checkboxes-jquery/datatables.checkboxes.css	(from https://demos.pixinvent.com/vuexy-html-admin-template/html/vertical-menu-template/)
16:14:26	1609/1609	---M--	200	added ('OK')	text/css	etag:%2264d33f25-649%22	https://demos.pixinvent.com/vuexy-html-admin-template/assets/vendor/css/pages/cards-advance.css	D:/Themeforest%20Files/HTTrack%20Websites/Vuexy/Vuexy/demos.pixinvent.com/vuexy-html-admin-template/assets/vendor/css/pages/cards-advance.css	(from https://demos.pixinvent.com/vuexy-html-admin-template/html/vertical-menu-template/)
16:14:26	22149/22149	---M--	200	added ('OK')	application/javascript	etag:%2264d33f25-5685%22	https://demos.pixinvent.com/vuexy-html-admin-template/assets/vendor/js/helpers.js	D:/Themeforest%20Files/HTTrack%20Websites/Vuexy/Vuexy/demos.pixinvent.com/vuexy-html-admin-template/assets/vendor/js/helpers.js	(from https://demos.pixinvent.com/vuexy-html-admin-template/html/vertical-menu-template/)
16:14:27	48779/48779	---M--	200	added ('OK')	application/javascript	etag:%2264d33f25-be8b%22	https://demos.pixinvent.com/vuexy-html-admin-template/assets/vendor/js/template-customizer.js	D:/Themeforest%20Files/HTTrack%20Websites/Vuexy/Vuexy/demos.pixinvent.com/vuexy-html-admin-template/assets/vendor/js/template-customizer.js	(from https://demos.pixinvent.com/vuexy-html-admin-template/html/vertical-menu-template/)
16:14:27	1103/1103	---M--	200	added ('OK')	application/javascript	etag:%2264d33f27-44f%22	https://demos.pixinvent.com/vuexy-html-admin-template/assets/js/config.js	D:/Themeforest%20Files/HTTrack%20Websites/Vuexy/Vuexy/demos.pixinvent.com/vuexy-html-admin-template/assets/js/config.js	(from https://demos.pixinvent.com/vuexy-html-admin-template/html/vertical-menu-template/)
16:14:27	106284/106284	---MCZ	200	added ('OK')	text/html	etag:W/%2264d33f25-19f2c%22	https://demos.pixinvent.com/vuexy-html-admin-template/html/vertical-menu-template/index.html	D:/Themeforest%20Files/HTTrack%20Websites/Vuexy/Vuexy/demos.pixinvent.com/vuexy-html-admin-template/html/vertical-menu-template/index-2.html	(from https://demos.pixinvent.com/vuexy-html-admin-template/html/vertical-menu-template/)
